domain,goal,tool,url
INGEST,Ingest SaaS,Portable,https://portable.io/
INGEST,Ingest SaaS,Rivery,https://rivery.io/
INGEST,Ingest SaaS,RudderStack,https://www.rudderstack.com/
INGEST,Ingest SaaS,Segment,https://segment.com/
INGEST,Ingest SaaS,Snowplow,https://snowplow.io/
INGEST,Ingest SaaS,Trocco,https://global.trocco.io/
INGEST,Ingest Tech,Airbyte,https://airbyte.com/
INGEST,Ingest Tech,Amazon Kinesis,https://aws.amazon.com/kinesis/
INGEST,Ingest Tech,Apache,https://flume.apache.org/
INGEST,Ingest Tech,Apache Beam,https://beam.apache.org/
INGEST,Ingest Tech,Apache Flink,https://flink.apache.org/
INGEST,Ingest Tech,Apache Kafka,https://kafka.apache.org/
INGEST,Ingest Tech,Apache NiFi,https://nifi.apache.org/
INGEST,Ingest Tech,Apache Pulsar,https://pulsar.apache.org
INGEST,Ingest Tech,Apache Spark,https://spark.apache.org/streaming/
INGEST,Ingest Tech,Apache Storm,https://storm.apache.org/
INGEST,Ingest Tech,Confluent,https://www.confluent.io/
INGEST,Ingest Tech,Decodable,https://www.decodable.co/
INGEST,Ingest Tech,G,https://cloud.google.com/pubsub
INGEST,Ingest Tech,Github,https://github.com/meltano
INGEST,Ingest Tech,Google Cloud Pub/Sub,https://cloud.google.com/pubsub
INGEST,Ingest Tech,Informatica,https://www.informatica.com/
INGEST,Ingest Tech,Kaskada,https://kaskada.com/
INGEST,Ingest Tech,Materialize,https://materialize.com/docs/ingest-data/
INGEST,Ingest Tech,Memphis,https://docs.memphis.dev/memphis
INGEST,Ingest Tech,Microsoft,https://azure.microsoft.com/en-us/products/data-factory/
INGEST,Ingest Tech,Redpanda,https://redpanda.com/
INGEST,Ingest Tech,StreamNative,https://streamnative.io/
INGEST,Ingest Tech,Striim,https://www.striim.com/
INGEST,Ingest Tech,Upsolver,https://www.upsolver.com/
INGEST,Ingest Tech,WarpStream,https://www.warpstream.com/
INGEST,Reverse ETL,Getcensus,https://getcensus.com/
INGEST,Reverse ETL,Grouparoo,https://www.grouparoo.com/
INGEST,Reverse ETL,Headsup,https://www.headsup.ai/
INGEST,Reverse ETL,Hightouch,https://www.hightouch.io/
INGEST,Reverse ETL,Octolis,https://octolis.com/
INGEST,Reverse ETL,Omnata,https://omnata.com/
INGEST,Reverse ETL,Polytomic,https://www.polytomic.com/
INGEST,Reverse ETL,RudderStack,https://www.rudderstack.com/
INGEST,Reverse ETL,Seekwell,https://seekwell.io/
INGEST,Reverse ETL,Trocco,https://global.trocco.io/
METADATA,Metastores,AWS Glue,https://aws.amazon.com/glue/
METADATA,Metastores,Apache Hive,https://hive.apache.org/
METADATA,Metastores,Azure Purview,https://azure.microsoft.com/en-us/products/purview
METADATA,Metastores,C,https://cloud.google.com/pubsub
METADATA,Metastores,Cloud Dataproc,https://cloud.google.com/blog/products/data-analytics/use-new-apache-hive-metastore-easily-in-cloud
METADATA,Metastores,Cloudera,https://www.cloudera.com/
METADATA,Metastores,Datastrato,https://datastrato.ai/gravitino/
METADATA,Metastores,Microsoft Purview,https://azure.microsoft.com/en-us/products/purview
METADATA,Metastores,Openhousedb,https://www.openhousedb.org/docs/intro/
METADATA,Metastores,Tabular,https://tabular.io/
METADATA,Metastores,Unity Catalog,https://www.databricks.com/product/unity-catalog
METADATA,Open Table Formats,Apache,https://orc.apache.org/docs/acid.html
METADATA,Open Table Formats,Apache Hudi,https://hudi.apache.org/
METADATA,Open Table Formats,Apache Iceberg,https://iceberg.apache.org/
METADATA,Open Table Formats,Delta Lake,https://delta.io/
METADATA,Open Table Formats,Onehouse,https://www.onehouse.ai/
PIPELINES,Data Quality / Observability,Acceldata,https://www.acceldata.io/
PIPELINES,Data Quality / Observability,Activeloop,https://www.activeloop.ai/
PIPELINES,Data Quality / Observability,Aimon,https://aimon.ai/
